"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.40.3.139","35.186.224.9","TCP","54","55674  >  443 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"2","0.000363","10.40.3.139","35.186.224.24","TCP","54","55774  >  443 [FIN, ACK] Seq=1 Ack=1 Win=511 Len=0"
"3","0.025860","35.186.224.24","10.40.3.139","TCP","60","443  >  55774 [FIN, ACK] Seq=1 Ack=2 Win=1028 Len=0"
"4","0.025860","35.186.224.9","10.40.3.139","TCP","60","443  >  55674 [FIN, ACK] Seq=1 Ack=2 Win=1007 Len=0"
"5","0.025935","10.40.3.139","35.186.224.24","TCP","54","55774  >  443 [ACK] Seq=2 Ack=2 Win=511 Len=0"
"6","0.026083","10.40.3.139","35.186.224.9","TCP","54","55674  >  443 [ACK] Seq=2 Ack=2 Win=510 Len=0"
"7","0.602371","162.159.133.234","10.40.3.139","TLSv1.2","111","Application Data"
"8","0.649836","10.40.3.139","162.159.133.234","TCP","54","58290  >  443 [ACK] Seq=1 Ack=58 Win=512 Len=0"
"9","0.867774","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"10","1.221883","fe80::8000:f227:d788:f855","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"11","1.831817","Fortinet_98:5b:56","Intel_90:37:ec","ARP","60","Who has 10.40.3.139? Tell 10.40.63.254"
"12","1.831847","Intel_90:37:ec","Fortinet_98:5b:56","ARP","42","10.40.3.139 is at 80:38:fb:90:37:ec"
"13","2.126606","10.40.3.139","18.231.65.122","TLSv1.2","108","Application Data"
"14","2.139493","18.231.65.122","10.40.3.139","TCP","60","443  >  58277 [ACK] Seq=1 Ack=55 Win=12 Len=0"
"15","2.139493","18.231.65.122","10.40.3.139","TLSv1.2","110","Application Data"
"16","2.188007","10.40.3.139","18.231.65.122","TCP","54","58277  >  443 [ACK] Seq=55 Ack=57 Win=511 Len=0"
"17","2.639302","10.40.3.139","10.40.0.2","DNS","75","Standard query 0x3b2b HTTPS www.youtube.com"
"18","2.645247","10.40.0.2","10.40.3.139","DNS","372","Standard query response 0x3b2b HTTPS www.youtube.com CNAME youtube-ui.l.google.com HTTPS NS ns3.google.com NS ns1.google.com NS ns2.google.com NS ns4.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"19","2.667349","10.40.3.139","10.40.0.2","DNS","74","Standard query 0x6c8b A www.google.com"
"20","2.669391","10.40.0.2","10.40.3.139","DNS","338","Standard query response 0x6c8b A www.google.com A 172.217.28.164 NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"21","2.670320","10.40.3.139","172.217.28.164","TCP","66","62701  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"22","2.689260","172.217.28.164","10.40.3.139","TCP","66","443  >  62701 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"23","2.689322","10.40.3.139","172.217.28.164","TCP","54","62701  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"24","2.690128","10.40.3.139","172.217.28.164","TLSv1.3","1953","Client Hello (SNI=www.google.com)"
"25","2.690360","10.40.3.139","172.217.28.164","TCP","54","62701  >  443 [FIN, ACK] Seq=1900 Ack=1 Win=131072 Len=0"
